idade,renda_anual,situacao_moradia,tempo_emprego_anos,motivo_emprestimo,nota_risco,valor_emprestimo,taxa_juros,inadimplencia,comprometimento_renda%,historico_inadimplencia,anos_historico_credito,renda_mensal,faixa_etaria
24,67746,Aluguel,8,Reforma,C,33000,12.68,Inadimplente,0.49,N,3,5646,Até 25 anos
21,11000,Financiada,3,Empreendimento,E,4575,17.74,Inadimplente,0.42,S,3,917,Até 25 anos
23,11000,Própria,0,Pessoal,A,1400,9.32,Não Inadimplente,0.13,N,3,917,Até 25 anos
24,65000,Aluguel,6,Reforma,B,32500,9.99,Inadimplente,0.5,N,3,5417,Até 25 anos
21,11389,Outros,5,Educação,C,4000,12.84,Inadimplente,0.35,S,2,949,Até 25 anos
21,11520,Própria,5,Saúde,B,2000,11.12,Inadimplente,0.17,N,3,960,Até 25 anos
25,120000,Aluguel,2,Empreendimento,A,32000,6.62,Não Inadimplente,0.27,N,2,10000,Até 25 anos
26,95000,Aluguel,7,Reforma,C,31050,14.17,Inadimplente,0.33,S,3,7917,26-35 anos
25,306000,Aluguel,2,Consolidação de Dividas,C,24250,13.85,Não Inadimplente,0.08,N,3,25500,Até 25 anos
26,300000,Financiada,10,Saúde,C,7800,13.49,Não Inadimplente,0.03,N,4,25000,26-35 anos
21,12000,Própria,5,Educação,A,2500,7.51,Inadimplente,0.21,N,4,1000,Até 25 anos
22,48000,Aluguel,1,Educação,E,30000,18.39,Inadimplente,0.63,N,2,4000,Até 25 anos
24,64000,Aluguel,8,Consolidação de Dividas,D,30000,14.54,Inadimplente,0.47,S,3,5333,Até 25 anos
25,75000,Aluguel,4,Reforma,D,30000,16.89,Inadimplente,0.4,S,4,6250,Até 25 anos
23,71500,Aluguel,3,Consolidação de Dividas,D,30000,12.118277554663097,Inadimplente,0.42,N,4,5958,Até 25 anos
26,62050,Aluguel,6,Saúde,E,30000,17.99,Inadimplente,0.41,N,2,5171,26-35 anos
24,12000,Própria,4,Empreendimento,B,2500,12.69,Inadimplente,0.21,N,3,1000,Até 25 anos
26,300000,Financiada,10,Empreendimento,A,20000,7.88,Não Inadimplente,0.07,N,4,25000,26-35 anos
23,300000,Própria,1,Educação,F,24250,19.41,Não Inadimplente,0.08,S,2,25000,Até 25 anos
26,300000,Própria,9,Reforma,B,10000,10.38,Não Inadimplente,0.03,N,4,25000,26-35 anos
26,300000,Financiada,0,Educação,D,25000,15.33,Não Inadimplente,0.08,N,3,25000,26-35 anos
25,300000,Financiada,9,Reforma,E,18000,16.45,Não Inadimplente,0.06,N,3,25000,Até 25 anos
26,80690,Aluguel,8,Pessoal,A,30000,7.49,Inadimplente,0.37,N,3,6724,26-35 anos
22,66300,Aluguel,4,Saúde,B,30000,12.69,Inadimplente,0.38,N,3,5525,Até 25 anos
26,89028,Aluguel,0,Consolidação de Dividas,A,30000,6.62,Inadimplente,0.34,N,3,7419,26-35 anos
24,78000,Aluguel,4,Consolidação de Dividas,D,30000,15.190242179616549,Inadimplente,0.38,S,4,6500,Até 25 anos
23,78000,Aluguel,7,Consolidação de Dividas,F,30000,18.62,Inadimplente,0.38,S,3,6500,Até 25 anos
23,92004,Aluguel,6,Pessoal,C,30000,15.23,Inadimplente,0.33,S,3,7667,Até 25 anos
23,97000,Aluguel,7,Empreendimento,B,30000,10.65,Inadimplente,0.31,N,2,8083,Até 25 anos
25,120000,Aluguel,9,Educação,A,30000,7.9,Não Inadimplente,0.25,N,4,10000,Até 25 anos
26,280000,Aluguel,4,Pessoal,C,10000,15.96,Não Inadimplente,0.04,S,3,23333,26-35 anos
26,277104,Aluguel,0,Empreendimento,B,20000,11.48,Não Inadimplente,0.07,N,3,23092,26-35 anos
23,277000,Própria,3,Pessoal,A,35000,9.83738138593829,Não Inadimplente,0.13,N,4,23083,Até 25 anos
25,128000,Aluguel,9,Pessoal,A,30000,7.29,Não Inadimplente,0.23,N,4,10667,Até 25 anos
24,12000,Própria,2,Empreendimento,E,1750,14.098848653667595,Não Inadimplente,0.15,S,3,1000,Até 25 anos
21,131000,Aluguel,0,Empreendimento,A,30000,5.99,Não Inadimplente,0.23,N,4,10917,Até 25 anos
22,275000,Própria,6,Empreendimento,B,12000,11.58,Não Inadimplente,0.04,N,2,22917,Até 25 anos
26,263000,Financiada,0,Educação,B,10000,12.118277554663097,Inadimplente,0.04,N,4,21917,26-35 anos
25,221850,Financiada,9,Saúde,D,25000,15.7,Inadimplente,0.1,N,2,18488,Até 25 anos
22,70000,Aluguel,6,Educação,D,29100,15.99,Inadimplente,0.42,N,3,5833,Até 25 anos
22,12000,Financiada,7,Educação,D,1500,14.84,Não Inadimplente,0.13,S,3,1000,Até 25 anos
26,260000,Própria,10,Reforma,B,28000,10.99,Não Inadimplente,0.11,N,3,21667,26-35 anos
25,259000,Financiada,9,Reforma,D,20000,14.42,Não Inadimplente,0.08,S,2,21583,Até 25 anos
24,255000,Financiada,9,Educação,A,9600,6.99,Não Inadimplente,0.04,N,2,21250,Até 25 anos
25,250000,Aluguel,2,Saúde,C,25000,13.49,Não Inadimplente,0.1,N,4,20833,Até 25 anos
25,12000,Própria,0,Saúde,C,3000,12.118277554663097,Inadimplente,0.25,N,3,1000,Até 25 anos
22,56950,Aluguel,6,Saúde,A,28000,12.118277554663097,Inadimplente,0.49,N,2,4746,Até 25 anos
21,12000,Própria,6,Educação,C,3000,13.61,Inadimplente,0.25,S,3,1000,Até 25 anos
23,65000,Aluguel,2,Educação,A,28000,7.9,Inadimplente,0.43,N,2,5417,Até 25 anos
26,85000,Aluguel,2,Empreendimento,A,28000,7.49,Inadimplente,0.33,N,3,7083,26-35 anos
26,12000,Própria,2,Educação,A,6100,7.51,Inadimplente,0.51,N,3,1000,26-35 anos
22,88000,Aluguel,6,Empreendimento,B,28000,9.91,Inadimplente,0.32,N,3,7333,Até 25 anos
21,12000,Própria,0,Pessoal,C,4200,13.48,Inadimplente,0.35,S,4,1000,Até 25 anos
22,12000,Própria,6,Consolidação de Dividas,A,4750,7.14,Inadimplente,0.4,N,2,1000,Até 25 anos
24,83004,Aluguel,0,Empreendimento,D,28000,15.99,Inadimplente,0.34,S,4,6917,Até 25 anos
24,250000,Aluguel,2,Educação,C,18000,12.98,Não Inadimplente,0.07,S,3,20833,Até 25 anos
25,100000,Aluguel,5,Consolidação de Dividas,B,28000,12.69,Não Inadimplente,0.28,N,3,8333,Até 25 anos
26,110000,Aluguel,10,Educação,A,28000,8.9,Não Inadimplente,0.25,N,2,9167,26-35 anos
26,12000,Própria,0,Consolidação de Dividas,A,2700,12.118277554663097,Inadimplente,0.23,N,4,1000,26-35 anos
22,108000,Aluguel,6,Educação,B,28000,12.118277554663097,Inadimplente,0.26,N,4,9000,Até 25 anos
23,151200,Aluguel,7,Consolidação de Dividas,B,28000,11.11,Não Inadimplente,0.19,N,2,12600,Até 25 anos
24,69000,Aluguel,2,Reforma,A,27600,12.118277554663097,Inadimplente,0.4,N,2,5750,Até 25 anos
21,12000,Financiada,5,Consolidação de Dividas,E,3250,15.68,Inadimplente,0.27,S,3,1000,Até 25 anos
22,70000,Aluguel,4,Educação,C,27500,13.06,Inadimplente,0.39,S,3,5833,Até 25 anos
22,240000,Própria,6,Pessoal,B,25000,9.83738138593829,Não Inadimplente,0.1,N,2,20000,Até 25 anos
26,73200,Aluguel,5,Empreendimento,D,27050,15.62,Inadimplente,0.37,S,2,6100,26-35 anos
24,83000,Aluguel,5,Pessoal,C,27000,13.49,Inadimplente,0.33,S,2,6917,Até 25 anos
24,73399,Aluguel,0,Empreendimento,D,27000,12.118277554663097,Inadimplente,0.37,N,3,6117,Até 25 anos
23,62500,Aluguel,7,Saúde,B,26000,11.71,Inadimplente,0.42,N,2,5208,Até 25 anos
23,120000,Aluguel,1,Educação,B,25600,12.69,Não Inadimplente,0.21,N,3,10000,Até 25 anos
24,12360,Própria,2,Saúde,C,1600,13.57,Não Inadimplente,0.13,N,3,1030,Até 25 anos
22,60000,Aluguel,0,Empreendimento,B,25475,10.99,Inadimplente,0.42,N,3,5000,Até 25 anos
25,234000,Financiada,3,Saúde,C,20000,14.27,Não Inadimplente,0.09,S,4,19500,Até 25 anos
24,234000,Própria,8,Reforma,B,20000,8.88,Não Inadimplente,0.09,N,4,19500,Até 25 anos
26,234000,Financiada,10,Reforma,B,21600,12.18,Não Inadimplente,0.09,N,3,19500,26-35 anos
25,221004,Financiada,6,Consolidação de Dividas,D,11900,14.42,Inadimplente,0.05,S,3,18417,Até 25 anos
26,232500,Financiada,0,Saúde,C,25000,14.17,Não Inadimplente,0.11,S,2,19375,26-35 anos
25,230000,Financiada,5,Saúde,C,35000,13.99,Não Inadimplente,0.15,N,4,19167,Até 25 anos
23,83000,Aluguel,7,Educação,B,25300,10.99,Inadimplente,0.3,N,3,6917,Até 25 anos
22,12600,Financiada,4,Pessoal,A,2000,5.42,Inadimplente,0.16,N,4,1050,Até 25 anos
25,12600,Própria,3,Pessoal,C,1750,13.61,Não Inadimplente,0.14,N,3,1050,Até 25 anos
21,42500,Aluguel,3,Educação,C,25000,12.73,Inadimplente,0.59,S,3,3542,Até 25 anos
24,41000,Aluguel,2,Reforma,D,25000,12.118277554663097,Inadimplente,0.61,N,3,3417,Até 25 anos
25,12816,Própria,0,Consolidação de Dividas,C,3000,12.87,Inadimplente,0.23,S,4,1068,Até 25 anos
24,12960,Financiada,1,Reforma,B,3650,9.91,Inadimplente,0.28,N,3,1080,Até 25 anos
26,226000,Financiada,4,Reforma,B,20000,11.49,Não Inadimplente,0.09,N,4,18833,26-35 anos
25,225000,Financiada,0,Reforma,E,30000,19.91,Não Inadimplente,0.13,S,2,18750,Até 25 anos
26,213000,Financiada,6,Educação,B,35000,10.65,Inadimplente,0.16,N,2,17750,26-35 anos
24,225000,Aluguel,0,Saúde,B,6000,9.83738138593829,Não Inadimplente,0.03,N,4,18750,Até 25 anos
24,12960,Financiada,0,Consolidação de Dividas,B,4500,11.83,Inadimplente,0.35,N,4,1080,Até 25 anos
23,12996,Própria,0,Consolidação de Dividas,C,2400,13.49,Inadimplente,0.18,S,2,1083,Até 25 anos
22,42000,Aluguel,6,Saúde,D,25000,14.59,Inadimplente,0.6,S,2,3500,Até 25 anos
26,48000,Aluguel,2,Educação,B,25000,9.64,Inadimplente,0.52,N,4,4000,26-35 anos
25,12996,Própria,1,Saúde,D,3600,14.59,Inadimplente,0.28,N,3,1083,Até 25 anos
22,12996,Própria,1,Educação,B,4750,12.118277554663097,Inadimplente,0.37,N,3,1083,Até 25 anos
25,42360,Aluguel,1,Educação,E,25000,16.35,Inadimplente,0.59,S,3,3530,Até 25 anos
21,49000,Aluguel,4,Educação,B,25000,10.99,Inadimplente,0.51,N,2,4083,Até 25 anos
25,225000,Financiada,0,Empreendimento,F,25000,18.67,Não Inadimplente,0.11,N,2,18750,Até 25 anos
26,225000,Aluguel,1,Educação,A,3000,9.32,Não Inadimplente,0.01,N,4,18750,26-35 anos
23,225000,Aluguel,8,Consolidação de Dividas,A,7500,8.63,Não Inadimplente,0.03,N,2,18750,Até 25 anos
26,225000,Financiada,2,Empreendimento,B,25000,10.08,Não Inadimplente,0.11,N,2,18750,26-35 anos
22,49464,Aluguel,5,Pessoal,B,25000,11.83,Inadimplente,0.51,N,3,4122,Até 25 anos
23,50000,Aluguel,1,Consolidação de Dividas,A,25000,7.9,Inadimplente,0.5,N,3,4167,Até 25 anos
25,50000,Aluguel,4,Reforma,A,25000,5.99,Inadimplente,0.5,N,2,4167,Até 25 anos
24,44000,Aluguel,2,Consolidação de Dividas,D,25000,15.33,Inadimplente,0.57,N,2,3667,Até 25 anos
23,50000,Aluguel,1,Empreendimento,B,25000,11.83,Inadimplente,0.5,N,4,4167,Até 25 anos
22,50004,Aluguel,0,Empreendimento,B,25000,10.36,Inadimplente,0.5,N,2,4167,Até 25 anos
22,50004,Aluguel,3,Empreendimento,C,25000,12.23,Inadimplente,0.5,N,3,4167,Até 25 anos
22,52000,Aluguel,2,Educação,B,25000,11.11,Inadimplente,0.48,N,4,4333,Até 25 anos
23,13200,Própria,3,Consolidação de Dividas,A,4950,7.9,Inadimplente,0.38,N,4,1100,Até 25 anos
24,220000,Financiada,1,Educação,B,25000,11.58,Não Inadimplente,0.11,N,2,18333,Até 25 anos
23,216000,Financiada,5,Consolidação de Dividas,A,21000,8.9,Não Inadimplente,0.1,N,3,18000,Até 25 anos
25,216000,Financiada,2,Educação,D,25000,16.07,Não Inadimplente,0.12,N,3,18000,Até 25 anos
26,216000,Financiada,10,Educação,C,20000,14.22,Não Inadimplente,0.09,S,2,18000,26-35 anos
23,215000,Financiada,7,Saúde,C,35000,14.79,Não Inadimplente,0.16,S,3,17917,Até 25 anos
26,215000,Financiada,11,Educação,A,12000,7.88,Não Inadimplente,0.06,N,2,17917,26-35 anos
23,52000,Aluguel,1,Pessoal,C,25000,13.22,Inadimplente,0.48,N,2,4333,Até 25 anos
26,46000,Aluguel,2,Consolidação de Dividas,D,25000,11.86,Inadimplente,0.54,N,4,3833,26-35 anos
22,53000,Aluguel,5,Educação,C,25000,13.43,Inadimplente,0.47,S,4,4417,Até 25 anos
26,47000,Aluguel,0,Reforma,D,25000,15.28,Inadimplente,0.53,S,2,3917,26-35 anos
23,47000,Aluguel,1,Empreendimento,E,25000,17.93,Inadimplente,0.53,N,2,3917,Até 25 anos
23,13200,Financiada,2,Educação,B,1400,9.25,Não Inadimplente,0.11,N,4,1100,Até 25 anos
21,13200,Própria,0,Empreendimento,C,4500,12.98,Inadimplente,0.34,N,4,1100,Até 25 anos
22,210000,Financiada,6,Empreendimento,B,16000,10.62,Não Inadimplente,0.08,N,4,17500,Até 25 anos
26,210000,Própria,10,Pessoal,B,22000,11.83,Não Inadimplente,0.1,N,4,17500,26-35 anos
26,48000,Aluguel,5,Empreendimento,F,25000,18.43,Inadimplente,0.52,N,2,4000,26-35 anos
22,54996,Aluguel,6,Educação,B,25000,12.118277554663097,Inadimplente,0.45,N,4,4583,Até 25 anos
24,55000,Aluguel,4,Reforma,D,25000,15.190242179616549,Inadimplente,0.45,S,4,4583,Até 25 anos
23,55000,Aluguel,4,Educação,B,25000,11.36,Inadimplente,0.45,N,3,4583,Até 25 anos
23,55000,Aluguel,4,Educação,D,25000,15.65,Inadimplente,0.45,S,3,4583,Até 25 anos
24,55164,Aluguel,8,Pessoal,C,25000,13.22,Inadimplente,0.45,S,4,4597,Até 25 anos
26,56000,Aluguel,4,Consolidação de Dividas,C,25000,12.87,Inadimplente,0.45,N,2,4667,26-35 anos
24,203500,Própria,8,Saúde,C,20000,13.04,Não Inadimplente,0.1,N,3,16958,Até 25 anos
23,190000,Financiada,5,Educação,F,22000,17.58,Inadimplente,0.12,S,3,15833,Até 25 anos
23,13920,Própria,2,Pessoal,E,7750,17.04,Inadimplente,0.56,N,4,1160,Até 25 anos
24,60000,Aluguel,0,Pessoal,B,25000,10.99,Inadimplente,0.42,N,3,5000,Até 25 anos
24,60000,Aluguel,2,Pessoal,B,25000,11.11,Inadimplente,0.42,N,3,5000,Até 25 anos
26,54000,Aluguel,7,Consolidação de Dividas,D,25000,14.83,Inadimplente,0.46,S,2,4500,26-35 anos
23,14000,Própria,2,Consolidação de Dividas,D,4000,12.118277554663097,Inadimplente,0.29,N,3,1167,Até 25 anos
24,200000,Aluguel,8,Saúde,B,12000,12.69,Não Inadimplente,0.06,N,2,16667,Até 25 anos
24,200000,Financiada,8,Reforma,C,12000,13.49,Não Inadimplente,0.06,N,2,16667,Até 25 anos
21,200000,Financiada,5,Educação,C,16000,14.65,Não Inadimplente,0.08,N,4,16667,Até 25 anos
25,54000,Aluguel,3,Reforma,E,25000,16.82,Inadimplente,0.46,N,4,4500,Até 25 anos
23,60000,Aluguel,3,Pessoal,C,25000,12.73,Inadimplente,0.42,N,3,5000,Até 25 anos
23,60000,Aluguel,7,Pessoal,B,25000,10.25,Inadimplente,0.42,N,4,5000,Até 25 anos
21,60000,Aluguel,6,Educação,B,25000,10.99,Inadimplente,0.42,N,4,5000,Até 25 anos
25,61959,Aluguel,9,Saúde,C,25000,12.73,Inadimplente,0.4,N,2,5163,Até 25 anos
22,56400,Aluguel,2,Reforma,D,25000,14.96,Inadimplente,0.44,S,3,4700,Até 25 anos
23,200000,Financiada,7,Educação,A,28000,9.83738138593829,Não Inadimplente,0.14,N,2,16667,Até 25 anos
21,200000,Financiada,2,Consolidação de Dividas,C,25000,13.99,Não Inadimplente,0.13,N,2,16667,Até 25 anos
24,200000,Financiada,3,Empreendimento,A,24000,7.49,Não Inadimplente,0.12,N,4,16667,Até 25 anos
26,200000,Financiada,4,Educação,C,15000,14.79,Não Inadimplente,0.07,N,3,16667,26-35 anos
25,200000,Financiada,2,Consolidação de Dividas,B,15500,11.99,Não Inadimplente,0.08,N,2,16667,Até 25 anos
24,200000,Aluguel,8,Educação,A,10000,8.49,Não Inadimplente,0.05,N,4,16667,Até 25 anos
24,66000,Aluguel,3,Educação,B,25000,9.91,Inadimplente,0.38,N,2,5500,Até 25 anos
22,66000,Aluguel,6,Educação,C,25000,13.06,Inadimplente,0.38,S,3,5500,Até 25 anos
22,200000,Financiada,6,Consolidação de Dividas,A,9000,6.17,Não Inadimplente,0.04,N,4,16667,Até 25 anos
25,200000,Aluguel,5,Educação,D,18000,16.32,Não Inadimplente,0.09,N,3,16667,Até 25 anos
25,200000,Financiada,2,Empreendimento,B,12000,10.38,Não Inadimplente,0.06,N,2,16667,Até 25 anos
25,200000,Financiada,9,Pessoal,C,23050,14.35,Não Inadimplente,0.12,N,3,16667,Até 25 anos
24,200000,Financiada,8,Consolidação de Dividas,B,20000,9.83738138593829,Não Inadimplente,0.1,N,3,16667,Até 25 anos
24,60000,Aluguel,2,Consolidação de Dividas,E,25000,15.190242179616549,Inadimplente,0.42,S,2,5000,Até 25 anos
21,14400,Própria,0,Reforma,B,3000,12.118277554663097,Inadimplente,0.21,N,4,1200,Até 25 anos
26,66996,Aluguel,10,Pessoal,D,25000,15.21,Inadimplente,0.37,S,2,5583,26-35 anos
23,67000,Aluguel,3,Educação,A,25000,7.9,Inadimplente,0.37,N,4,5583,Até 25 anos
24,67000,Aluguel,2,Empreendimento,B,25000,10.99,Inadimplente,0.37,N,3,5583,Até 25 anos
24,68000,Aluguel,5,Pessoal,D,25000,14.09,Inadimplente,0.37,S,3,5667,Até 25 anos
25,69000,Aluguel,9,Pessoal,D,25000,17.49,Inadimplente,0.36,N,2,5750,Até 25 anos
25,200000,Financiada,0,Educação,B,12000,11.48,Não Inadimplente,0.06,N,3,16667,Até 25 anos
26,188000,Financiada,10,Empreendimento,E,20000,17.74,Inadimplente,0.11,N,2,15667,26-35 anos
26,200000,Financiada,4,Pessoal,C,3000,13.92,Não Inadimplente,0.01,N,3,16667,26-35 anos
25,69996,Aluguel,9,Educação,D,25000,15.21,Inadimplente,0.36,N,3,5833,Até 25 anos
22,14400,Própria,2,Saúde,B,4000,10.99,Inadimplente,0.28,N,3,1200,Até 25 anos
24,70000,Aluguel,3,Educação,B,25000,11.86,Inadimplente,0.36,N,4,5833,Até 25 anos
24,14400,Própria,5,Pessoal,A,6000,7.49,Inadimplente,0.42,N,3,1200,Até 25 anos
24,56100,Aluguel,7,Saúde,D,25000,16.49,Inadimplente,0.38,N,4,4675,Até 25 anos
25,66000,Aluguel,9,Empreendimento,D,25000,15.33,Inadimplente,0.38,S,2,5500,Até 25 anos
26,66000,Aluguel,3,Reforma,B,25000,11.58,Inadimplente,0.38,N,4,5500,26-35 anos
25,14400,Própria,7,Educação,A,5375,5.79,Inadimplente,0.37,N,2,1200,Até 25 anos
25,72612,Aluguel,9,Saúde,C,25000,13.11,Inadimplente,0.34,N,2,6051,Até 25 anos
23,74000,Aluguel,3,Saúde,B,25000,10.36,Inadimplente,0.34,N,3,6167,Até 25 anos
25,75000,Aluguel,9,Consolidação de Dividas,B,25000,10.36,Inadimplente,0.33,N,2,6250,Até 25 anos
24,192000,Aluguel,0,Saúde,C,22000,14.098848653667595,Não Inadimplente,0.11,S,2,16000,Até 25 anos
21,192000,Financiada,123,Empreendimento,A,20000,6.54,Não Inadimplente,0.1,N,4,16000,Até 25 anos
25,191000,Financiada,1,Saúde,B,10000,12.53,Não Inadimplente,0.05,N,4,15917,Até 25 anos
26,190300,Financiada,5,Pessoal,A,15000,9.83738138593829,Não Inadimplente,0.08,N,3,15858,26-35 anos
22,190000,Financiada,3,Empreendimento,C,10000,9.83738138593829,Não Inadimplente,0.05,N,3,15833,Até 25 anos
24,75000,Aluguel,4,Educação,B,25000,10.25,Inadimplente,0.33,N,4,6250,Até 25 anos
22,71000,Aluguel,1,Educação,D,25000,15.95,Inadimplente,0.35,S,4,5917,Até 25 anos
26,190000,Financiada,3,Empreendimento,B,20000,12.18,Não Inadimplente,0.11,N,4,15833,26-35 anos
23,189996,Própria,0,Pessoal,B,24000,11.83,Não Inadimplente,0.13,N,3,15833,Até 25 anos
23,78000,Aluguel,7,Consolidação de Dividas,C,25000,15.190242179616549,Inadimplente,0.32,S,2,6500,Até 25 anos
23,78000,Aluguel,1,Empreendimento,B,25000,10.62,Inadimplente,0.32,N,3,6500,Até 25 anos
23,78504,Aluguel,7,Empreendimento,B,25000,10.74,Inadimplente,0.32,N,3,6542,Até 25 anos
25,186000,Própria,9,Empreendimento,B,10000,10.25,Não Inadimplente,0.05,N,4,15500,Até 25 anos
24,185000,Financiada,4,Educação,B,35000,12.42,Não Inadimplente,0.19,N,2,15417,Até 25 anos
25,185000,Aluguel,6,Empreendimento,C,15000,15.27,Não Inadimplente,0.08,N,2,15417,Até 25 anos
24,62050,Aluguel,8,Saúde,D,25000,15.33,Inadimplente,0.34,S,2,5171,Até 25 anos
23,79416,Aluguel,7,Empreendimento,D,25000,15.21,Inadimplente,0.31,S,2,6618,Até 25 anos
21,14400,Própria,4,Empreendimento,C,6250,14.72,Inadimplente,0.43,N,2,1200,Até 25 anos
24,79631,Aluguel,8,Pessoal,D,25000,15.7,Inadimplente,0.31,S,2,6636,Até 25 anos
24,79632,Aluguel,0,Educação,C,25000,13.35,Inadimplente,0.31,N,4,6636,Até 25 anos
21,14400,Financiada,0,Saúde,C,1500,9.83738138593829,Não Inadimplente,0.1,N,4,1200,Até 25 anos
24,80000,Aluguel,6,Educação,A,25000,6.62,Inadimplente,0.31,N,2,6667,Até 25 anos
26,80000,Aluguel,5,Consolidação de Dividas,C,25000,13.61,Inadimplente,0.31,N,4,6667,26-35 anos
22,185000,Aluguel,4,Saúde,B,25000,11.36,Não Inadimplente,0.14,N,2,15417,Até 25 anos
26,185000,Própria,10,Pessoal,A,5000,7.68,Não Inadimplente,0.03,N,2,15417,26-35 anos
24,184992,Aluguel,7,Reforma,D,22000,14.46,Não Inadimplente,0.12,S,4,15416,Até 25 anos
23,184000,Própria,5,Educação,B,2500,11.83,Não Inadimplente,0.01,N,2,15333,Até 25 anos
24,172000,Financiada,6,Consolidação de Dividas,C,20000,13.47,Inadimplente,0.12,S,4,14333,Até 25 anos
24,183000,Financiada,2,Saúde,B,20000,11.49,Não Inadimplente,0.11,N,3,15250,Até 25 anos
22,183000,Financiada,3,Educação,A,1000,9.83738138593829,Não Inadimplente,0.01,N,2,15250,Até 25 anos
25,182952,Financiada,9,Pessoal,A,15000,6.03,Não Inadimplente,0.08,N,3,15246,Até 25 anos
23,74004,Aluguel,7,Consolidação de Dividas,E,25000,16.35,Inadimplente,0.34,N,4,6167,Até 25 anos
26,74004,Aluguel,10,Consolidação de Dividas,D,25000,15.190242179616549,Inadimplente,0.34,S,4,6167,26-35 anos
25,81000,Aluguel,5,Consolidação de Dividas,A,25000,7.29,Inadimplente,0.31,N,3,6750,Até 25 anos
23,81600,Aluguel,1,Saúde,B,25000,11.36,Inadimplente,0.31,N,3,6800,Até 25 anos
24,82000,Aluguel,8,Empreendimento,B,25000,10.25,Não Inadimplente,0.3,N,2,6833,Até 25 anos
24,83000,Aluguel,5,Educação,B,25000,11.12,Não Inadimplente,0.3,N,3,6917,Até 25 anos
24,83000,Aluguel,5,Pessoal,D,25000,12.92,Não Inadimplente,0.3,S,3,6917,Até 25 anos
24,180000,Aluguel,8,Educação,E,18000,18.64,Não Inadimplente,0.1,S,4,15000,Até 25 anos
23,180000,Financiada,8,Pessoal,A,28000,7.51,Não Inadimplente,0.16,N,3,15000,Até 25 anos
23,14400,Própria,2,Reforma,E,4000,16.7,Inadimplente,0.28,N,2,1200,Até 25 anos
22,14400,Própria,0,Pessoal,B,2100,11.14,Não Inadimplente,0.15,N,4,1200,Até 25 anos
22,84500,Aluguel,6,Pessoal,F,25000,18.3,Não Inadimplente,0.3,N,4,7042,Até 25 anos
24,85000,Aluguel,5,Saúde,B,25000,10.62,Não Inadimplente,0.29,N,4,7083,Até 25 anos
24,180000,Financiada,7,Empreendimento,B,14000,11.99,Não Inadimplente,0.08,N,2,15000,Até 25 anos
